,date,review,rating,isEdited,title,userName
0,2024-06-09 00:27:19,"I’ve had Netflix since 2014 and I’ve never had a bad movie or series experience, but I do have a problem with some of the series and movies they take off/on, and how long they take them off for, like when it comes to series that I love like “The Vampire Diaries” and “The Originals”. I understand they have to take some series off so they can put new ones or the ones they took off before that one back on, but how long some of the series are gone is crazy it has now almost been a whole year since “The Vampire Diaries” has been off of Netflix and I am a binge watcher so I love to rewatch series and movies that I love, but a year is toooo long for me, I like to get my binge watching on and Netflix is lowkey stopping me from that, and DON’T GET ME STARTED ON THE MOVIES, I am a fantasy, romance, drama, comedy girl, so I love movies like twilight and I do now for sure that Netflix takes that movie on and off all the time, but once again the amount of time that it gets taken off for is crazy. Me personally I think Netflix should take series on and off based off what is actually being watched by people, and if they take a series or movie off, and it’s a movie/series that people have been watching a lot they should take it off for a short amount of time (3-5 months)",4,False,Renewable series and movies,ashy ashton
1,2022-10-25 17:26:12,"I have been using Netflix for years now. It is so amazing! There are unlimited shows for all ages and show types…what i mean is different types of shows for different people. Action, comedy, horror, romance, family…it’s all there. Personally, my favorite show is Bunk’d, which would be considered comedy. I highly recommend it!!! So amazing. There are so many options.
One thing, though. There are some inappropriate shows that show up on even a kids profile. My mom still makes me use a kids profile because of all the inappropriate shows about nudity, drugs, etc and shows with swearing and stuff. It still shows up even on that profile. Just not as much. But could you please have that stuff ONLY on adult profiles? I don’t like seeing it, and I’d rather have a Watch Together profile, and still not see it much. My little siblings—we’re talking toddlers here—see that stuff on their profiles too. I really would like it if you didn’t have all of that.
But Netflix is mostly amazing, which is why I gave it five stars, though it was close to four stars because of the inappropriate show stuff. The search bar is so easy to search stuff up, and downloading is nice too (BUT PLEASE MAKE BUNK’D DOWNLOADABLE!!!!!!!). Netflix is cool yo. 😎",5,False,Wow!,Rising17
2,2024-07-15 00:36:58,"Since last December I was watching Korean series on my phone on Netflix and on my tv but since the new update that got I couldn’t enter because the account was my sister‘s father that was in Texas he shared his account with us because my mom didn’t want an account since she didn’t want to pay any more apps, but then when you update it only lets me watch the kids profile and I can’t enter any adults profile since any update I’ve always liked Netflix and could watch anything on any profile but since the last update, I can’t watch Korean series on Netflix and I needed an app to watch Korean series, but some Korean series are only on Netflix and I can’t watch it on the app since the last update I can’t get into any adult profile I could only enter the kids profile so please can you change the new update some of us have others Netflix profiles that share with us since we don’t have one so I hope that you can get rid of the new update since I can’t watch Netflix and any other person in the world thanks to the new update my sister‘s father he’s the only one who can use Netflix as he shared with us his account so we can’t watch Netflix so I hope you can get rid of the new update hoping for response this year",4,False,The New Update,suportts123fun
3,2024-02-10 00:29:52,"I live in 2 different apartments during the week due to working 2 different jobs. I have the most basic plan because it is mostly just me watching. Occasionally my roommate watches something on my account on the shared tv. I am barely affording to live in this society while working 2 jobs and all I want to do sometimes is sit down and watch something while I eat dinner or before bed. Since they made the new 1 household rule, I continuously have to verify devices and re sign in. I have contacted them and they’re like too bad you have to verify your devices every month in order to use them all. They won’t discount my membership for the inconvenience and they won’t fix it. I finally cancelled my membership due to the emotional distress this has caused me on several occasions. I have pretty severe depression and the lack of accommodation for this disability is quite disappointing. I consistently use the same devices to watch Netflix and yet they still have to be reverified every month. I’ve notified them on multiple occasions of the issue and nothing is done. Sad to cancel but I can no longer handle this extra source of stress in my life. It already costs too much money as it is. Using my very limited energy on re-verifying devices constantly is something I no longer wish to participate in. When you fix this issue I will consider signing up again.",2,False,Greedy company,angrycustomer65
4,2023-04-12 01:52:51,"Oh Netflix. I will say navigation is better on mobile than a computer - on computers when you get suggested titles there’s no easy way to rate what you’ve already watched and yet in both places that presents a problem within itself - if I’ve already watched something I wish you would remove it from the rows of shows and movies and the better way to do this would be to have a previously rated section where all these already rated shows can live. With all the content Netflix has the cluster of what you call organization is a huge turn off and I find myself using the platform less because of it. 

Also, Netflix basically birthed the term binging so I also hate when you try to be like traditional cable and release shows by date - whoever decided this was a good idea - you don’t understand a competitive advantage when you have one as no one really likes having to tune in weekly if they also had the option of just watching all the way thru (time permitting of course). Again you’ve managed to take a competitive advantage and found a way to regress to be like everyone else. Sometimes people try too hard and overlook the easy reasons why they are losing subscribers and a lot of it has to do with when you lose those core things that made you great.",3,False,Doubt anyone reads these but,mytw0b1ts
5,2024-07-15 15:59:57,"I’ll get to the point. I understand Netflix doesn’t want those pepes using vpns to watch whatever show they want but what about actual travelers. This has been a major nuisance for the past fue years. Basically, when your location changes (like going to another country) the content changes as well and it varies. Some things you saw before are gone but some things you didn’t see are there. People try taking advantage of this by using a vpn to make it look like they’re in another country to watch content that isn’t available in their country. But Netflix has a “fix”. They simply set the language specifically to whatever languages are spoken in that country. But then this conflicts with people that are ACTUALLY on vacation. I’ve had to watch mha in Spanish. Luckily I know Spanish but i don’t know French. I don’t know German. I don’t know Japanese. I watched season 1 of Mob Psycho 100 on the way to Switzerland and made the mistake of not downloading season 2. So now I have the options of watching it in Japanese or German. And no, no english subtitles either. There is not a SINGLE show of my interest in my language. So now Netflix, my main entertainment on the plane for example, is utterly useless. Absolutely useless. Now I have to watch the Acolyte and who knows what else on Disney+ for a 9 hour flight.",3,False,location,icebot96975
6,2023-07-18 00:05:26,"I would love to recommend adding a “Start Over” button prior to watching or even once the movie/tv show starts playing. I can’t tell you how many times I’ve had to swipe the lil’ timer button aalllll the way to the left o start something over & then the app freezes. Just add a Start Over button! But keep the resume button as well. People prob. want both! Would also like to remove the rating thumbs off of the screen while watching. It was fine where it was. I understand it helps y’all know what to keep as well as I’m sure it helps the algorithm to suggest shows I may be interested but I actually want to press it less now that it’s in my way. A section geared toward teens would be awesome! Not just young children. Lastly, I would also love an “Expiring Soon” section & also add a little notification as well when clicking on something to watch. Nothing I hate more than when I go to watch something & find it’s no longer on Netflix even though I added it to my watchlist within weeks or even days….Had I known, I would have watched sooner! Otherwise thanks for always being there for me :’) Been watching since the good ole mailing system days!",4,False,Some great suggestions! Please read Netflix,Felonymelon
7,2024-05-10 05:38:17,"Change the way your house holds work, I travel for work and am away from home very often and sometimes for long periods. Make it so I can select which accounts I want to be able to use while traveling! My family should’ve be able to watch at home while I’m on the road. I get that you want to stop people from sharing there accounts with everyone. But this is very annoying for us who don’t share our accounts and want to use Netflix on the go. I like Netflix it’s probably my favorite steaming service but this makes me want to cancel my subscription! For example if you pay for an account with four devices, you should be able to select four devices that can be used anywhere. Then with that same account set a home IP address that you can use as many devices as you would like. For example your home computer the tv in the living room and the tv in the basement or the one upstairs in your room. This would allow all family members at home to still be able to watch. While also letting four and only four devices to be used any where. The same would go for if you only payed for 2 devices you could only use 2 devices anywhere! Also keep the vacation mode I think that’s a good feature! I am very disappointed in this update Netflix I hope you actually read this and any other comments/reviews because this makes me hate a platform I love!",1,False,House Holds,Amkhoops
8,2024-10-20 15:18:50,"I have been using Netflix for YEARS and it is amazing! It is a platform where you can watch all your favorite movies or tv shows. Most of my favorite shows are on here and that is part of the reason I have it. If you pay for a subscription every month or year I think, you can watch unlimited movies and shows for that amount of time. Some of the things on Netflix are interactive which is cool too. You can add things to your list which would be your favorite things to watch. And for traveling you can download movies to watch WITHOUT internet! There are different profiles you can set up and even a kids option so they won’t go watching stuff they are not supposed too. They show age ratings which is helpful for kids at young ages. There are so many different genres of movies like comedy, drama, horror, action and more! Something I also like is they put different movies and shows in different number places like the number one through ten of the best movies or shows that time you get on the app. This app has a great selection if your looking for some newer or older movies too. This app is just amazing and I really enjoy it.",5,False,Netflix is awesome!,Pandacandyy11
9,2021-11-10 23:16:55,"Their morals are obviously skewed considering the majority of the content (let’s not forget that controversial pedo-friendly film Cuties that is still up), I’m going to let my subscription lapse because I haven’t found myself on here in months. The final straw was the fact that you can only change your account settings online, not through the app— get with the times, you’re a huge conglomeration and you can’t even cancel through the app? There are tiny companies that have figured out how to offer that feature in their apps, it’s clear you just want to make it difficult for people so they’ll give up without really trying, an insidious way to make money. Like a leech. They used to have a lot more comedy specials, I’m talking at least 2 dropped a month and then shows like ‘Best of Standup’, etc., but those haven’t gotten updated in awhile, and I can always just watch rips rather than continue to support a company that- unfortunately like most- has questionable standards and chooses to invest in ideas for shows and movies that are just, I mean, over-the-top sexual, violent, etc., in a way that it’s just like, we get it you’re trying to shape the world so it thinks this stuff is ok, but anyone with any morals, will always know it’s not. You’re just trying to convince yourself.",3,False,Meh,hernameisnotknown
